id,name_ja,name_en,image_file_path,category,is_dictionary_visible,rarity,faction_ja,faction_en,hp,phy,int,agi,passive_name_ja,passive_name_en,passive_text_ja,passive_text_en,attributes_ja,attributes_en,enchants
2022,アンデルセン,Hans Christian Andersen,Image/Heroes/2022.png,original,true,Uncommon,玄武,GENBU,234,46,100,116,マッチ売りの少女,The Little Match Girl,自身のHPが60%未満の時に{triggerRate}%の確率で1回だけ発動 / 敵全体に自身のINTの35 ~ 55%ダメージ,"If this hero's HP is less than 60% , {triggerRate}% chance to trigger once. / Deal damage to all enemies equal to 35 ~ 55% of this hero's INT.",文系学問; ヨーロッパ; デュオ; 童話,Soft Science; Poland; Duo; Fairy tale,
2023,ミケランジェロ,Michelangelo,Image/Heroes/2023.png,original,true,Uncommon,玄武,GENBU,252,63,142,51,ダビデの覚醒,The Awakening of David,バトル開始時に{triggerRate}%の確率で発動 / 自身のINTを50アップ,"At the start of battle, {triggerRate}% chance to trigger. / Increase this hero's INT by 50.",美術; イタリア,Art; Italy,phy_alleviation:30; int_alleviation:30
2024,サロメ,Salome,Image/Heroes/2024.png,original,true,Uncommon,朱雀,SUZAKU,339,79,43,105,ヘロディアの娘,Daughter of Herodias,自身がActive Skillでダメージを受けた後に{triggerRate}%の確率で発動 / 自身のPHYを自身のPHYの5%アップ / HPが最も低い味方のHPを受けたダメージの25%回復 / 先頭の敵に{successRate}%の確率で恐怖を付与,"After this hero takes damage from an Active Skill, {triggerRate}% chance to trigger. / Increase this hero's PHY by 5% of this hero's PHY. / Heal the ally with the lowest HP for 25% of damage taken. / {successRate}% chance to inflict Fear on the first enemy.",女性; オカルト; 芸能; 地中海,Female; Occult; Performing Arts; Mediterranean,
2025,サトシ・ナカモト ALPHA CC,SATOSHI・NAKAMOTO ALPHA CC,Image/Heroes/2025.png,original,true,Uncommon,玄武,GENBU,312,105,37,94,マイニング ALPHA CC,Mining ALPHA CC,自身がActive Skillを使用した後に{triggerRate}%の確率で発動 / 最後尾の味方のPHYを自身のPHYの10%アップ / 最後尾の味方のAGIを自身のPHYの10%アップ,"After this hero uses an Active Skill, {triggerRate}% chance to trigger. / Increase the last ally's PHY by 10% of this hero's PHY. / Increase the last ally's AGI by 10% of this hero's PHY.",理系学問; 謎,Hard Science; Mystery,int_alleviation:30
2026,豊臣秀吉,Toyotomi Hideyoshi,Image/Heroes/2026.png,original,true,Uncommon,青龍,SEIRYU,210,63,51,156,功名立志伝,Monkey Success Story,バトル開始時に{triggerRate}%の確率で発動 / PHYが最も高い味方のAGIを自身のAGIの20%アップ,"At the start of battle, {triggerRate}% chance to trigger. / Increase the AGI of the ally with the highest PHY by 20% of this hero's AGI.",指導者; 動物; 戦国; 天下人,Head; Animal; Sengoku; Ruler over Sengoku,
2027,イソップ,Aesop,Image/Heroes/2027.png,original,true,Uncommon,玄武,GENBU,360,119,51,50,うさぎとかめ,The Tortoise and the Hare,自身のHPが60%未満の時に{triggerRate}%の確率で1回だけ発動 / INTが最も高い敵のAGIを対象のAGIの100%ダウン / INTが最も高い敵のAGIを自身のAGIの30%アップ,"If this hero's HP is less than 60% , {triggerRate}% chance to trigger once. / Decrease the AGI of the enemy with the highest INT by 100% of target's AGI. / Increase the AGI of the enemy with the highest INT by 30% of this hero's AGI.",文系学問; 動物; ギリシャ; 童話,Soft Science; Animal; Greece; Fairy tale,
2028,チュン姉妹,Trưng Sisters,Image/Heroes/2028.png,original,true,Uncommon,青龍,SEIRYU,222,66,125,75,姉妹の反乱,Sister Rebellion,敵の誰かがActive Skillを使用した後に{triggerRate}%の確率で発動 / 最後尾の敵に自身のPHY減少量の70 ~ 100%ダメージ / 最後尾の敵に自身のINT減少量の70 ~ 100%ダメージ,"After an enemy uses an Active Skill, {triggerRate}% chance to trigger. / Deal damage to the last enemy equal to 70 ~ 100% of this hero's PHY decrease. / Deal damage to the last enemy equal to 70 ~ 100% of this hero's INT decrease.",女性; 動物; アジア; デュオ; 世界三大ジャンヌ,Female; Animal; Asia; Duo; The world's three greatest Jeannes,
2029,一休,Ikkyu,Image/Heroes/2029.png,original,true,Uncommon,黄竜,KOURYU,282,72,120,54,めでたくもあり・めでたくもなし,Happy and Unhappy,自身が死亡した後に{triggerRate}%の確率で1回だけ発動 / 自身を自身の最大HPの20%回復した状態で復活 / 最後尾の敵に自身のINTの30 ~ 50%ダメージ,"After this hero dies, {triggerRate}% chance to trigger once. / Revive this hero with 20% of this hero's Max HP. / Deal damage to the last enemy equal to 30 ~ 50% of this hero's INT.",戦国; 信仰; 謎,Sengoku; Faith; Mystery,
2030,出雲阿国,Izumo no Okuni,Image/Heroes/2030.png,original,true,Uncommon,玄武,GENBU,489,71,59,47,ややこ踊り,Yayako-Dance,味方全体のHP合計が60%未満の時に{triggerRate}%の確率で1回だけ発動 / 敵全体に自身のPHYの35 ~ 55%ダメージ,"If the total HP of all allies is less than 60% , {triggerRate}% chance to trigger once. / Deal damage to all enemies equal to 35 ~ 55% of this hero's PHY.",女性; 戦国; 芸能,Female; Sengoku; Performing Arts,
2031,ビスマルク,Bismarck,Image/Heroes/2031.png,original,true,Uncommon,青龍,SEIRYU,354,113,56,53,鉄血演説,Blood and Iron speech,自身がActive Skillを使用した後に{triggerRate}%の確率で発動 / 中衛の敵に{successRate}%の確率で恐怖を付与 / 最後尾の敵に{successRate}%の確率で恐怖を付与,"After this hero uses an Active Skill, {triggerRate}% chance to trigger. / {successRate}% chance to inflict Fear on the midline enemy. / {successRate}% chance to inflict Fear on the last enemy.",指導者; 政治; ドイツ,Head; Politics; Germany,
2032,モンゴメリ,Montgomery,Image/Heroes/2032.png,original,true,Uncommon,朱雀,SUZAKU,255,35,116,104,グリーンゲイブルズ,Green Gables,自身がActive Skillを使用した後に{triggerRate}%の確率で発動 / 最後尾の敵に自身のINTの30%ダメージ / 最後尾の敵に自身のINT減少量の50%ダメージ,"After this hero uses an Active Skill, {triggerRate}% chance to trigger. / Deal damage to the last enemy equal to 30% of this hero's INT. / Deal damage to the last enemy equal to 50% of this hero's INT decrease.",文系学問; 女性; アメリカ大陸,Soft Science; Female; America,
2033,ゲーテ,Goethe,Image/Heroes/2033.png,original,true,Uncommon,白虎,BYAKKO,420,57,103,40,若きウェルテルの悩み,The Sorrows of Young Werther,自身のHPが60%未満の時に{triggerRate}%の確率で1回だけ発動 / 先頭の敵のPHYを対象のPHYの100%ダウン / 先頭の敵のPHYを自身のPHYの30%アップ / 敵全体に{successRate}%の確率でバインドを付与,"If this hero's HP is less than 60% , {triggerRate}% chance to trigger once. / Decrease the first enemy's PHY by 100% of target's PHY. / Increase the first enemy's PHY by 30% of this hero's PHY. / {successRate}% chance to inflict Bind on all enemies.",政治; 文系学問; 理系学問; ドイツ,Politics; Soft Science; Hard Science; Germany,
2034,プラトン,Plato,Image/Heroes/2034.png,original,true,Uncommon,白虎,BYAKKO,276,117,64,67,イデア論,Theory of Ideas,バトル開始時に{triggerRate}%の確率で発動 / PHYが最も高い敵のPHYを自身のPHYの30%ダウン / PHYが最も低い敵のPHYを対象のPHYの20%アップ / 自身のPHYを自身のPHYの5%アップ / 自身のAGIを自身のPHYの5%アップ,"At the start of battle, {triggerRate}% chance to trigger. / Decrease the PHY of the enemy with the highest PHY by 30% of this hero's PHY. / Increase the PHY of the enemy with the lowest PHY by 20% of target's PHY. / Increase this hero's PHY by 5% of this hero's PHY. / Increase this hero's AGI by 5% of this hero's PHY.",文系学問; ギリシャ,Soft Science; Greece,
2035,猿田彦,Sarutahiko,Image/Heroes/2035.png,original,true,Uncommon,黄竜,KOURYU,300,66,86,88,西暦3344年,AD 3344 years,自身がActive Skillを使用した後に{triggerRate}%の確率で発動 / 先頭の敵のINTを自身のPHYの20%アップ / 自身のINTを自身のINTの20 ~ 30%アップ,"After this hero uses an Active Skill, {triggerRate}% chance to trigger. / Increase the first enemy's INT by 20% of this hero's PHY. / Increase this hero's INT by 20 ~ 30% of this hero's INT.",理系学問; 日本; 伝承; 手塚,Hard Science; Japan; Traditional; TEZUKA,int_alleviation:25
2036,樋口一葉,Higuchi Ichiyō,Image/Heroes/2036.png,original,true,Uncommon,白虎,BYAKKO,141,39,130,124,たけくらべ,Takekurabe,バトル開始時に{triggerRate}%の確率で発動 / 最大HPが最も高い敵のAGIを対象のAGIの30%ダウン / 先頭の味方のINTを自身のINTの100%ダウン / 先頭の味方のINTを自身のINTの80%アップ,"At the start of battle, {triggerRate}% chance to trigger. / Decrease the AGI of the enemy with the highest Max HP by 30% of target's AGI. / Decrease the first ally's INT by 100% of this hero's INT. / Increase the first ally's INT by 80% of this hero's INT.",文系学問; 女性; 日本,Soft Science; Female; Japan,
2037,孫策,Sun Ce,Image/Heroes/2037.png,original,true,Uncommon,朱雀,SUZAKU,288,140,35,69,長沙桓王,Prince Huan of Changsha,自身のHPが60%未満の時に{triggerRate}%の確率で1回だけ発動 / 自身のPHYを自身のPHYの25%アップ / 「HPが最も低い敵に自身のPHYの15%ダメージ」を5回繰り返す / 自身のPHYを自身のPHYの20%ダウン,"If this hero's HP is less than 60% , {triggerRate}% chance to trigger once. / Increase this hero's PHY by 25% of this hero's PHY. / [5 times]Deal damage to the enemy with the lowest HP equal to 15% of this hero's PHY. / Decrease this hero's PHY by 20% of this hero's PHY.",三国志; 呉,Romance of the Three Kingdoms; Wu,
2038,平清盛,Taira no Kiyomori,Image/Heroes/2038.png,original,true,Uncommon,青龍,SEIRYU,207,113,54,104,治承三年の政変,Political Change in Jicho 3,自身のHPが60%未満の時に{triggerRate}%の確率で1回だけ発動 / 敵全体のPHYを自身のPHYの30 ~ 40%ダウン / 敵全体に対象のPHY減少量の50%ダメージ / 味方全体のINTを自身のPHYの20%ダウン,"If this hero's HP is less than 60% , {triggerRate}% chance to trigger once. / Decrease the PHY of all enemies by 30 ~ 40% of this hero's PHY. / Deal damage to all enemies equal to 50% of target's PHY decrease. / Decrease the INT of all allies by 20% of this hero's PHY.",政治; 革命; 平安鎌倉,Politics; Revolution; Heian-Kamakura,reduction:40
