id,name_ja,name_en,image_file_path,hp,phy,int,agi,trend_hp,trend_phy,trend_int,trend_agi,active_skill_ids,active_skill_names_ja,active_skill_descriptions_ja,passive_skill_id,passive_skill_name_ja,passive_skill_description_ja
115,エルククローナ マキアート,Elk Cloner-macchiato,Image/Enemies/115.png,6,8,5,5,30,25,40,25,4004/4004/4004,フィッシング 1.2; フィッシング 1.2; フィッシング 1.2,先頭の敵にINTの25〜45％分ダメージ | 先頭の敵にINTの25〜45％分ダメージ | 先頭の敵にINTの25〜45％分ダメージ,,,
116,エルククローナ フラペチーノ,Elk Cloner-frappuccino,Image/Enemies/116.png,13,15,12,12,32,27,34,27,4004/4015/4015,フィッシング 1.2; ディープラーニングボム 2.0; ディープラーニングボム 2.0,先頭の敵にINTの25〜45％分ダメージ | 味方全体のINTをINTの10〜30%分アップ | 味方全体のINTをINTの10〜30%分アップ,,,
121,ハートブリード ショート,Heartbleed-short,Image/Enemies/121.png,5,4,7,4,30,24,42,24,4001/4001/4003,スパミング 1.0; スパミング 1.0; スパミング 1.2,先頭の敵にPHYの10〜30％分ダメージ | 先頭の敵にPHYの10〜30％分ダメージ | 先頭の敵にPHYの25〜45％分ダメージ,,,
122,ハートブリード トール,Heartbleed-tall,Image/Enemies/122.png,6,5,8,5,30,25,40,25,4003/4003/4003,スパミング 1.2; スパミング 1.2; スパミング 1.2,先頭の敵にPHYの25〜45％分ダメージ | 先頭の敵にPHYの25〜45％分ダメージ | 先頭の敵にPHYの25〜45％分ダメージ,,,
123,ハートブリード グランデ,Heartbleed-grande,Image/Enemies/123.png,6,5,8,5,30,25,40,25,4003/4010/4010,スパミング 1.2; リファクタリング 1.0; リファクタリング 1.0,先頭の敵にPHYの25〜45％分ダメージ | 最もHPの低い味方のPHYをINTの5〜15%分アップ | 最もHPの低い味方のPHYをINTの5〜15%分アップ,,,
124,ハートブリード ヴェンティ,Heartbleed-venti,Image/Enemies/124.png,7,6,9,6,32,25,38,25,4003/4005/4005,スパミング 1.2; スパミング 2.0; スパミング 2.0,先頭の敵にPHYの25〜45％分ダメージ | 敵全体にPHYの10〜50％分ダメージ | 敵全体にPHYの10〜50％分ダメージ,4017,フィッシングボム 2.0,初めてHPが30％未満になった時、敵全体にINTの30〜60%分ダメージ
125,ハートブリード マキアート,Heartbleed-macchiato,Image/Enemies/125.png,6,5,8,5,30,25,40,25,4003/4003/4003,スパミング 1.2; スパミング 1.2; スパミング 1.2,先頭の敵にPHYの25〜45％分ダメージ | 先頭の敵にPHYの25〜45％分ダメージ | 先頭の敵にPHYの25〜45％分ダメージ,,,
126,ハートブリード フラペチーノ,Heartbleed-frappuccino,Image/Enemies/126.png,13,12,15,12,32,27,34,27,4003/4012/4012,スパミング 1.2; リファクタリングボム 2.0; リファクタリングボム 2.0,先頭の敵にPHYの25〜45％分ダメージ | 味方全体のPHYをINTの10〜30%分アップ | 味方全体のPHYをINTの10〜30%分アップ,,,
131,メリッサ ショート,Melissa-short,Image/Enemies/131.png,6,4,6,4,36,24,36,24,4002/4002/4007,フィッシング 1.0; フィッシング 1.0; ロールバック 1.0,先頭の敵にINTの10〜30％分ダメージ | 先頭の敵にINTの10〜30％分ダメージ | 最もHPの低い味方に10〜30％の回復効果を与える,,,
132,メリッサ トール,Melissa-tall,Image/Enemies/132.png,7,5,7,5,35,25,35,25,4002/4007/4007,フィッシング 1.0; ロールバック 1.0; ロールバック 1.0,先頭の敵にINTの10〜30％分ダメージ | 最もHPの低い味方に10〜30％の回復効果を与える | 最もHPの低い味方に10〜30％の回復効果を与える,,,
133,メリッサ グランデ,Melissa-grande,Image/Enemies/133.png,7,5,7,5,35,25,35,25,4002/4013/4013,フィッシング 1.0; ディープラーニング 1.0; ディープラーニング 1.0,先頭の敵にINTの10〜30％分ダメージ | 最もHPの低い味方のINTをINTの5〜15%分アップ | 最もHPの低い味方のINTをINTの5〜15%分アップ,,,
134,メリッサ ヴェンティ,Melissa-venti,Image/Enemies/134.png,8,6,8,6,36,25,34,25,4004/4006/4006,フィッシング 1.2; フィッシング 2.0; フィッシング 2.0,先頭の敵にINTの25〜45％分ダメージ | 敵全体にINTの10〜50％分ダメージ | 敵全体にINTの10〜50％分ダメージ,4017,フィッシングボム 2.0,初めてHPが30％未満になった時、敵全体にINTの30〜60%分ダメージ
135,メリッサ マキアート,Melissa-macchiato,Image/Enemies/135.png,7,5,7,5,35,25,35,25,4004/4004/4004,フィッシング 1.2; フィッシング 1.2; フィッシング 1.2,先頭の敵にINTの25〜45％分ダメージ | 先頭の敵にINTの25〜45％分ダメージ | 先頭の敵にINTの25〜45％分ダメージ,,,
136,メリッサ フラペチーノ,Melissa-frappuccino,Image/Enemies/136.png,14,12,14,12,34,27,32,27,4004/4014/4014,フィッシング 1.2; ディープラーニング 1.5; ディープラーニング 1.5,先頭の敵にINTの25〜45％分ダメージ | 最もHPの低い味方のINTをINTの10〜25%分アップ | 最もHPの低い味方のINTをINTの10〜25%分アップ,,,
137,メリッサ グランデ,Melissa-grande,Image/Enemies/133.png,7,5,7,5,35,25,35,25,4004/4008/4008,フィッシング 1.2; ロールバック 1.5; ロールバック 1.5,先頭の敵にINTの25〜45％分ダメージ | 最もHPの低い味方に25〜45％の回復効果を与える | 最もHPの低い味方に25〜45％の回復効果を与える,,,
138,メリッサ ヴェンティ,Melissa-venti,Image/Enemies/134.png,8,6,8,6,36,25,34,25,4004/4008/4006,フィッシング 1.2; ロールバック 1.5; フィッシング 2.0,先頭の敵にINTの25〜45％分ダメージ | 最もHPの低い味方に25〜45％の回復効果を与える | 敵全体にINTの10〜50％分ダメージ,4009,ロールバックボム 2.0,初めてHPが30％未満になった時、味方全体に10〜60％の回復効果を与える
141,クリーパー トール ドッピオ,Creeper-tall doppio,Image/Enemies/141.png,9,5,5,5,39,37,17,27,4003/4003/4003,スパミング 1.2; スパミング 1.2; スパミング 1.2,先頭の敵にPHYの25〜45％分ダメージ | 先頭の敵にPHYの25〜45％分ダメージ | 先頭の敵にPHYの25〜45％分ダメージ,,,
142,メリッサ トール ドッピオ,Melissa-tall doppio,Image/Enemies/142.png,7,5,7,5,35,25,35,25,4002/4007/4007,フィッシング 1.0; ロールバック 1.0; ロールバック 1.0,先頭の敵にINTの10〜30％分ダメージ | 最もHPの低い味方に10〜30％の回復効果を与える | 最もHPの低い味方に10〜30％の回復効果を与える,,,
143,クリーパー グランデ ドッピオ,Creeper-grande doppio,Image/Enemies/143.png,9,5,5,5,39,27,27,27,4003/4010/4010,スパミング 1.2; リファクタリング 1.0; リファクタリング 1.0,先頭の敵にPHYの25〜45％分ダメージ | 最もHPの低い味方のPHYをINTの5〜15%分アップ | 最もHPの低い味方のPHYをINTの5〜15%分アップ,,,
144,メリッサ グランデ ドッピオ,Melissa-grande doppio,Image/Enemies/144.png,7,5,7,5,35,25,35,25,4004/4008/4008,フィッシング 1.2; ロールバック 1.5; ロールバック 1.5,先頭の敵にINTの25〜45％分ダメージ | 最もHPの低い味方に25〜45％の回復効果を与える | 最もHPの低い味方に25〜45％の回復効果を与える,,,
145,クリーパー ヴェンティ ドッピオ,Creeper-venti doppio,Image/Enemies/145.png,10,6,6,6,39,37,17,27,4003/4005/4005,スパミング 1.2; スパミング 2.0; スパミング 2.0,先頭の敵にPHYの25〜45％分ダメージ | 敵全体にPHYの10〜50％分ダメージ | 敵全体にPHYの10〜50％分ダメージ,4016,スパムボム 2.0,初めてHPが30％未満になった時、敵全体にPHYの30〜60%分ダメージ
146,メリッサ ヴェンティ ドッピオ,Melissa-venti doppio,Image/Enemies/146.png,8,6,8,6,36,25,34,25,4004/4008/4006,フィッシング 1.2; ロールバック 1.5; フィッシング 2.0,先頭の敵にINTの25〜45％分ダメージ | 最もHPの低い味方に25〜45％の回復効果を与える | 敵全体にINTの10〜50％分ダメージ,4009,ロールバックボム 2.0,初めてHPが30％未満になった時、味方全体に10〜60％の回復効果を与える
147,クリーパー フラペチーノ ドッピオ,Creeper-frappuccino doppio,Image/Enemies/147.png,16,12,12,12,39,37,17,27,4003/4012/4012,スパミング 1.2; リファクタリングボム 2.0; リファクタリングボム 2.0,先頭の敵にPHYの25〜45％分ダメージ | 味方全体のPHYをINTの10〜30%分アップ | 味方全体のPHYをINTの10〜30%分アップ,,,
148,メリッサ フラペチーノ ドッピオ,Melissa-frappuccino doppio,Image/Enemies/148.png,14,12,14,12,34,27,32,27,4004/4014/4014,フィッシング 1.2; ディープラーニング 1.5; ディープラーニング 1.5,先頭の敵にINTの25〜45％分ダメージ | 最もHPの低い味方のINTをINTの10〜25%分アップ | 最もHPの低い味方のINTをINTの10〜25%分アップ,,,
149,エルククローナ トール ドッピオ,Elk Cloner-tall doppio,Image/Enemies/149.png,6,8,5,5,30,25,40,25,4002/4004/4004,フィッシング 1.0; フィッシング 1.2; フィッシング 1.2,先頭の敵にINTの10〜30％分ダメージ | 先頭の敵にINTの25〜45％分ダメージ | 先頭の敵にINTの25〜45％分ダメージ,,,
150,エルククローナ グランデ ドッピオ,Elk Cloner-grande doppio,Image/Enemies/150.png,6,8,5,5,30,25,40,25,4002/4013/4013,フィッシング 1.0; ディープラーニング 1.0; ディープラーニング 1.0,先頭の敵にINTの10〜30％分ダメージ | 最もHPの低い味方のINTをINTの5〜15%分アップ | 最もHPの低い味方のINTをINTの5〜15%分アップ,,,
151,エルククローナ ヴェンティ ドッピオ,Elk Cloner-venti doppio,Image/Enemies/151.png,7,9,6,6,32,25,38,25,4004/4006/4006,フィッシング 1.2; フィッシング 2.0; フィッシング 2.0,先頭の敵にINTの25〜45％分ダメージ | 敵全体にINTの10〜50％分ダメージ | 敵全体にINTの10〜50％分ダメージ,4009,ロールバックボム 2.0,初めてHPが30％未満になった時、味方全体に10〜60％の回復効果を与える
152,エルククローナ フラペチーノ ドッピオ,Elk Cloner-frappuccino doppio,Image/Enemies/152.png,13,15,12,12,32,27,34,27,4004/4015/4015,フィッシング 1.2; ディープラーニングボム 2.0; ディープラーニングボム 2.0,先頭の敵にINTの25〜45％分ダメージ | 味方全体のINTをINTの10〜30%分アップ | 味方全体のINTをINTの10〜30%分アップ,,,
153,ハートブリード トール ドッピオ,Heartbleed-tall doppio,Image/Enemies/153.png,6,5,8,5,30,25,40,25,4003/4003/4003,スパミング 1.2; スパミング 1.2; スパミング 1.2,先頭の敵にPHYの25〜45％分ダメージ | 先頭の敵にPHYの25〜45％分ダメージ | 先頭の敵にPHYの25〜45％分ダメージ,,,
154,ハートブリード グランデ ドッピオ,Heartbleed-grande doppio,Image/Enemies/154.png,6,5,8,5,30,25,40,25,4003/4010/4010,スパミング 1.2; リファクタリング 1.0; リファクタリング 1.0,先頭の敵にPHYの25〜45％分ダメージ | 最もHPの低い味方のPHYをINTの5〜15%分アップ | 最もHPの低い味方のPHYをINTの5〜15%分アップ,,,
155,ハートブリード ヴェンティ ドッピオ,Heartbleed-venti doppio,Image/Enemies/155.png,7,6,9,6,32,25,38,25,4003/4005/4005,スパミング 1.2; スパミング 2.0; スパミング 2.0,先頭の敵にPHYの25〜45％分ダメージ | 敵全体にPHYの10〜50％分ダメージ | 敵全体にPHYの10〜50％分ダメージ,4016,スパムボム 2.0,初めてHPが30％未満になった時、敵全体にPHYの30〜60%分ダメージ
156,ハートブリード フラペチーノ ドッピオ,Heartbleed-frappuccino doppio,Image/Enemies/156.png,13,12,15,12,32,27,34,27,4003/4012/4012,スパミング 1.2; リファクタリングボム 2.0; リファクタリングボム 2.0,先頭の敵にPHYの25〜45％分ダメージ | 味方全体のPHYをINTの10〜30%分アップ | 味方全体のPHYをINTの10〜30%分アップ,,,
161,バイトバンディット ショート,Byte Bandit-short,Image/Enemies/161.png,11,6,2,5,26,43,14,36,4018/4001/4001,コードインジェクション 1.0; スパミング 1.0; スパミング 1.0,敵全体のINTをPHYの10~20％分ダウン | 先頭の敵にPHYの10〜30％分ダメージ | 先頭の敵にPHYの10〜30％分ダメージ,,,
162,バイトバンディット トール,Byte Bandit-tall,Image/Enemies/162.png,15,7,3,5,30,42,18,30,4001/4001/4018,スパミング 1.0; スパミング 1.0; コードインジェクション 1.0,先頭の敵にPHYの10〜30％分ダメージ | 先頭の敵にPHYの10〜30％分ダメージ | 敵全体のINTをPHYの10~20％分ダウン,,,
163,バイトバンディット グランデ,Byte Bandit-grande,Image/Enemies/163.png,9,7,3,7,18,42,18,42,4018/4001/4018,コードインジェクション 1.0; スパミング 1.0; コードインジェクション 1.0,敵全体のINTをPHYの10~20％分ダウン | 先頭の敵にPHYの10〜30％分ダメージ | 敵全体のINTをPHYの10~20％分ダウン,,,
164,バイトバンディット ヴェンティ,Byte Bandit-venti,Image/Enemies/164.png,16,10,3,7,25,47,14,33,4003/4018/4005,スパミング 1.2; コードインジェクション 1.0; スパミング 2.0,先頭の敵にPHYの25〜45％分ダメージ | 敵全体のINTをPHYの10~20％分ダウン | 敵全体にPHYの10〜50％分ダメージ,4020,コードインジェクション 2.0,初めてHPが60%未満になった時、敵全体のINTをPHYの20~70%分ダウン
165,バイトバンディット マキアート,Byte Bandit-macchiato,Image/Enemies/165.png,15,7,3,5,30,42,18,30,4019/4001/4001,コードインジェクション 1.5; スパミング 1.0; スパミング 1.0,敵全体のINTをPHYの20~40％分ダウン | 先頭の敵にPHYの10〜30％分ダメージ | 先頭の敵にPHYの10〜30％分ダメージ,4020,コードインジェクション 2.0,初めてHPが60%未満になった時、敵全体のINTをPHYの20~70%分ダウン
166,バイトバンディット フラペチーノ,Byte Bandit-frappuccino,Image/Enemies/166.png,19,19,5,13,18,53,14,36,4019/4001/4003,コードインジェクション 1.5; スパミング 1.0; スパミング 1.2,敵全体のINTをPHYの20~40％分ダウン | 先頭の敵にPHYの10〜30％分ダメージ | 先頭の敵にPHYの25〜45％分ダメージ,4020,コードインジェクション 2.0,初めてHPが60%未満になった時、敵全体のINTをPHYの20~70%分ダウン
167,バイトバンディット トール ドッピオ,Byte Bandit-tall doppio,Image/Enemies/167.png,15,7,3,5,30,42,18,30,4003/4003/4018,スパミング 1.2; スパミング 1.2; コードインジェクション 1.0,先頭の敵にPHYの25〜45％分ダメージ | 先頭の敵にPHYの25〜45％分ダメージ | 敵全体のINTをPHYの10~20％分ダウン,,,
168,バイトバンディット グランデ ドッピオ,Byte Bandit-grande doppio,Image/Enemies/168.png,9,7,3,7,18,42,18,42,4019/4003/4019,コードインジェクション 1.5; スパミング 1.2; コードインジェクション 1.5,敵全体のINTをPHYの20~40％分ダウン | 先頭の敵にPHYの25〜45％分ダメージ | 敵全体のINTをPHYの20~40％分ダウン,,,
169,バイトバンディット ヴェンティ ドッピオ,Byte Bandit-venti doppio,Image/Enemies/169.png,16,10,3,5,27,51,15,26,4005/4018/4005,スパミング 2.0; コードインジェクション 1.0; スパミング 2.0,敵全体にPHYの10〜50％分ダメージ | 敵全体のINTをPHYの10~20％分ダウン | 敵全体にPHYの10〜50％分ダメージ,4020,コードインジェクション 2.0,初めてHPが60%未満になった時、敵全体のINTをPHYの20~70%分ダウン
170,バイトバンディット フラペチーノ ドッピオ,Byte Bandit-frappuccino doppio,Image/Enemies/170.png,19,19,5,13,18,53,14,36,4019/4003/4003,コードインジェクション 1.5; スパミング 1.2; スパミング 1.2,敵全体のINTをPHYの20~40％分ダウン | 先頭の敵にPHYの25〜45％分ダメージ | 先頭の敵にPHYの25〜45％分ダメージ,4020,コードインジェクション 2.0,初めてHPが60%未満になった時、敵全体のINTをPHYの20~70%分ダウン
171,ディープ・ヨシュカ,ディープ・ヨシュカ,Image/Enemies/171.png,20000000,1,1,1,30,30,30,30,4021/4022/4023,マス・アウテージ Phase 1; マス・アウテージ Phase 2; マス・アウテージ Final Phase,自分のAGIを5000~40000%アップ | 自分のAGIを100~10000%アップ | 敵全体にPHYの999999%分ダメージを与える,,,
172,ディープ・ヨシュカ チョコラート,ディープ・ヨシュカ,Image/Enemies/172.png,50000000,1,1,1,30,30,30,30,4021/4022/4023,マス・アウテージ Phase 1; マス・アウテージ Phase 2; マス・アウテージ Final Phase,自分のAGIを5000~40000%アップ | 自分のAGIを100~10000%アップ | 敵全体にPHYの999999%分ダメージを与える,4027,I Love You！,ダメージを受けた時、10%の確率で、敵全体のPHYとINTをこのエネミーのINTの5000%分ダウン
181,ベーグル ショート,Bagle-short,Image/Enemies/181.png,18,3,5,3,42,21,36,21,4002/4002/4002,フィッシング 1.0; フィッシング 1.0; フィッシング 1.0,先頭の敵にINTの10〜30％分ダメージ | 先頭の敵にINTの10〜30％分ダメージ | 先頭の敵にINTの10〜30％分ダメージ,,,
182,ベーグル トール,Bagle-tall,Image/Enemies/182.png,21,4,6,3,42,24,36,18,4004/4006/4004,フィッシング 1.2; フィッシング 2.0; フィッシング 1.2,先頭の敵にINTの25〜45％分ダメージ | 敵全体にINTの10〜50％分ダメージ | 先頭の敵にINTの25〜45％分ダメージ,4024,スミッシング 1.0,ダメージを受けた時20％の確率で、最もHPの低い味方に30%の回復効果を与える
183,ベーグル グランデ,Bagle-grande,Image/Enemies/183.png,15,4,6,5,30,24,36,30,4013/4006/4013,ディープラーニング 1.0; フィッシング 2.0; ディープラーニング 1.0,最もHPの低い味方のINTをINTの5〜15%分アップ | 敵全体にINTの10〜50％分ダメージ | 最もHPの低い味方のINTをINTの5〜15%分アップ,4024,スミッシング 1.0,ダメージを受けた時20％の確率で、最もHPの低い味方に30%の回復効果を与える
184,ベーグル ヴェンティ,Bagle-venti,Image/Enemies/184.png,21,4,9,5,34,19,43,24,4006/4006/4006,フィッシング 2.0; フィッシング 2.0; フィッシング 2.0,敵全体にINTの10〜50％分ダメージ | 敵全体にINTの10〜50％分ダメージ | 敵全体にINTの10〜50％分ダメージ,4025,スミッシング 2.0,ダメージを受けた時25％の確率で、最もHPの低い味方に40%の回復効果を与える
185,ベーグル マキアート,Bagle-macchiato,Image/Enemies/185.png,21,4,6,3,42,24,36,18,4006/4004/4006,フィッシング 2.0; フィッシング 1.2; フィッシング 2.0,敵全体にINTの10〜50％分ダメージ | 先頭の敵にINTの25〜45％分ダメージ | 敵全体にINTの10〜50％分ダメージ,4025,スミッシング 2.0,ダメージを受けた時25％の確率で、最もHPの低い味方に40%の回復効果を与える
186,ベーグル フラペチーノ,Bagle-frappuccino,Image/Enemies/186.png,24,6,18,11,22,17,50,31,4004/4004/4006,フィッシング 1.2; フィッシング 1.2; フィッシング 2.0,先頭の敵にINTの25〜45％分ダメージ | 先頭の敵にINTの25〜45％分ダメージ | 敵全体にINTの10〜50％分ダメージ,4026,スミッシング 3.0,ダメージを受けた時30％の確率で、最もHPの低い味方に50%の回復効果を与える
310,クリーパー ショート,Creeper-short,Image/Enemies/101.png,8,4,4,4,42,36,16,26,4001/4001/4005,スパミング 1.0; スパミング 1.0; スパミング 2.0,先頭の敵にPHYの10〜30％分ダメージ | 先頭の敵にPHYの10〜30％分ダメージ | 敵全体にPHYの10〜50％分ダメージ,,,
311,クリーパー トール,Creeper-tall,Image/Enemies/102.png,9,5,5,5,39,37,17,27,4003/4003/4005,スパミング 1.2; スパミング 1.2; スパミング 2.0,先頭の敵にPHYの25〜45％分ダメージ | 先頭の敵にPHYの25〜45％分ダメージ | 敵全体にPHYの10〜50％分ダメージ,,,
312,クリーパー グランデ,Creeper-grande,Image/Enemies/103.png,9,5,5,5,39,27,27,27,4010/4003/4003,リファクタリング 1.0; スパミング 1.2; スパミング 1.2,最もHPの低い味方のPHYをINTの5〜15%分アップ | 先頭の敵にPHYの25〜45％分ダメージ | 先頭の敵にPHYの25〜45％分ダメージ,,,
313,クリーパー ヴェンティ,Creeper-venti,Image/Enemies/104.png,10,6,6,6,39,37,17,27,4005/4003/4005,スパミング 2.0; スパミング 1.2; スパミング 2.0,敵全体にPHYの10〜50％分ダメージ | 先頭の敵にPHYの25〜45％分ダメージ | 敵全体にPHYの10〜50％分ダメージ,4016,スパムボム 2.0,初めてHPが30％未満になった時、敵全体にPHYの30〜60%分ダメージ
314,クリーパー マキアート,Creeper-macchiato,Image/Enemies/105.png,9,5,5,5,39,37,17,27,4010/4010/4005,リファクタリング 1.0; リファクタリング 1.0; スパミング 2.0,最もHPの低い味方のPHYをINTの5〜15%分アップ | 最もHPの低い味方のPHYをINTの5〜15%分アップ | 敵全体にPHYの10〜50％分ダメージ,,,
315,クリーパー フラペチーノ,Creeper-frappuccino,Image/Enemies/106.png,16,12,12,12,39,37,17,27,4005/4003/4005,スパミング 2.0; スパミング 1.2; スパミング 2.0,敵全体にPHYの10〜50％分ダメージ | 先頭の敵にPHYの25〜45％分ダメージ | 敵全体にPHYの10〜50％分ダメージ,,,
316,クリーパー トール ドッピオ,Creeper-tall doppio,Image/Enemies/141.png,9,5,5,5,39,37,17,27,4003/4003/4005,スパミング 1.2; スパミング 1.2; スパミング 2.0,先頭の敵にPHYの25〜45％分ダメージ | 先頭の敵にPHYの25〜45％分ダメージ | 敵全体にPHYの10〜50％分ダメージ,,,
317,クリーパー グランデ ドッピオ,Creeper-grande doppio,Image/Enemies/143.png,9,5,5,5,39,27,27,27,4011/4003/4003,リファクタリング 1.5; スパミング 1.2; スパミング 1.2,最もHPの低い味方のPHYをINTの10〜25%分アップ | 先頭の敵にPHYの25〜45％分ダメージ | 先頭の敵にPHYの25〜45％分ダメージ,,,
318,クリーパー ヴェンティ ドッピオ,Creeper-venti doppio,Image/Enemies/145.png,10,6,6,6,39,37,17,27,4005/4003/4005,スパミング 2.0; スパミング 1.2; スパミング 2.0,敵全体にPHYの10〜50％分ダメージ | 先頭の敵にPHYの25〜45％分ダメージ | 敵全体にPHYの10〜50％分ダメージ,4016,スパムボム 2.0,初めてHPが30％未満になった時、敵全体にPHYの30〜60%分ダメージ
319,クリーパー フラペチーノ ドッピオ,Creeper-frappuccino doppio,Image/Enemies/147.png,16,12,12,12,39,37,17,27,4005/4003/4005,スパミング 2.0; スパミング 1.2; スパミング 2.0,敵全体にPHYの10〜50％分ダメージ | 先頭の敵にPHYの25〜45％分ダメージ | 敵全体にPHYの10〜50％分ダメージ,,,
320,エルククローナ ショート,Elk Cloner-short,Image/Enemies/111.png,5,7,4,4,30,24,42,24,4002/4002/4004,フィッシング 1.0; フィッシング 1.0; フィッシング 1.2,先頭の敵にINTの10〜30％分ダメージ | 先頭の敵にINTの10〜30％分ダメージ | 先頭の敵にINTの25〜45％分ダメージ,,,
321,エルククローナ トール,Elk Cloner-tall,Image/Enemies/112.png,6,8,5,5,30,25,40,25,4002/4004/4004,フィッシング 1.0; フィッシング 1.2; フィッシング 1.2,先頭の敵にINTの10〜30％分ダメージ | 先頭の敵にINTの25〜45％分ダメージ | 先頭の敵にINTの25〜45％分ダメージ,,,
322,エルククローナ グランデ,Elk Cloner-grande,Image/Enemies/113.png,6,8,5,5,30,25,40,25,4013/4013/4002,ディープラーニング 1.0; ディープラーニング 1.0; フィッシング 1.0,最もHPの低い味方のINTをINTの5〜15%分アップ | 最もHPの低い味方のINTをINTの5〜15%分アップ | 先頭の敵にINTの10〜30％分ダメージ,,,
323,エルククローナ ヴェンティ,Elk Cloner-venti,Image/Enemies/114.png,7,9,6,6,32,25,38,25,4004/4006/4006,フィッシング 1.2; フィッシング 2.0; フィッシング 2.0,先頭の敵にINTの25〜45％分ダメージ | 敵全体にINTの10〜50％分ダメージ | 敵全体にINTの10〜50％分ダメージ,4017,フィッシングボム 2.0,初めてHPが30％未満になった時、敵全体にINTの30〜60%分ダメージ
324,エルククローナ マキアート,Elk Cloner-macchiato,Image/Enemies/115.png,6,8,5,5,30,25,40,25,4004/4004/4004,フィッシング 1.2; フィッシング 1.2; フィッシング 1.2,先頭の敵にINTの25〜45％分ダメージ | 先頭の敵にINTの25〜45％分ダメージ | 先頭の敵にINTの25〜45％分ダメージ,,,
325,エルククローナ フラペチーノ,Elk Cloner-frappuccino,Image/Enemies/116.png,13,15,12,12,32,27,34,27,4015/4015/4004,ディープラーニングボム 2.0; ディープラーニングボム 2.0; フィッシング 1.2,味方全体のINTをINTの10〜30%分アップ | 味方全体のINTをINTの10〜30%分アップ | 先頭の敵にINTの25〜45％分ダメージ,,,
