skillId,name_en,name_ja,description_ja
1018,Crypto Tactics,クリプトタクティクス,初めてHPが50%未満になった時、先頭の敵にINTの120%分ダメージ
1019,Crypto Art,クリプトアート,死亡時50%の確率で、味方全員に70%の回復効果を与える
1020,Gladiator War,剣闘士の反乱,初めて自分のHPが60%未満になった後、100%の確率で発動 : 自分のPHYを、敵全体のINT増加分合計の100%分アップ
1020,Gladiator War,剣闘士の反乱,最もINTの高い敵のHPに、自分のPHYの30%-50%分ダメージ
1020,Gladiator War,剣闘士の反乱,最もINTの高い敵のHPに、自分のPHYの30%-50%分ダメージ
1020,Gladiator War,剣闘士の反乱,自分のPHYを、敵全体のINT増加分合計の100%分ダウン
1023,Mintol Art,ミントルアート,自分がActiveSkillを使用した後、30%の確率で発動 : 味方全員のPHYを、対象のPHY低下分の50%分アップ
1023,Mintol Art,ミントルアート,味方全員のINTを、対象のINT低下分の50%分アップ
1023,Mintol Art,ミントルアート,味方全員のHPを、回復係数の30%分回復
1025,Erlkönig,魔王,初めて自分が死亡した後、100%の確率で発動 : 敵全員を睡眠状態にすることがある
1025,Erlkönig,魔王,自分のHPを、自分の最大HPの5%-15%分回復
1025,Erlkönig,魔王,自分のAGIを、敵全体のHP合計の100%分ダウン
1027,The Maid of Orleans,オルレアンの乙女,自分がActiveSkillでダメージを受けた後、100%の確率で発動 : 味方全員のPHYを、自分のINTの10%-25%分アップ
1027,The Maid of Orleans,オルレアンの乙女,敵全員のAGIを、自分のPHYの5%分ダウン
1027,The Maid of Orleans,オルレアンの乙女,先頭の味方に100%の確率でデコイを付与する
1028,Kaientai,海援隊,自分がActiveSkillを使用した後、40%の確率で発動 : 最後尾の敵のHPに、自分のINTの20%分ダメージ
1028,Kaientai,海援隊,味方全員のHPを、回復係数の40%分回復
1028,Kaientai,海援隊,味方全員のINTを、自分のINTの10%分アップ
1030,Theory of Relativity,相対性理論,自分がActive時40%の確率で、味方全体のPHY / AGIをINTの30%分アップ
1030,Theory of Relativity,相対性理論,自分がActive時40%の確率で、味方全体のPHY / AGIをINTの30%分アップ
1031,Brioche shoot,ブリオッシュート,自分がActiveSkillを使用した後、40%の確率で発動 : 敵全員のHPに、自分のINTの25%分ダメージ
1031,Brioche shoot,ブリオッシュート,自分のHPを、このACTIONで自分が与えたダメージの30%分回復
1031,Brioche shoot,ブリオッシュート,自分を毒状態にすることがある
1032,Das Kapital,資本論,初めて自分が死亡した後、100%の確率で発動 : 味方全員のINTを、自分のINTの20%-30%分アップ
1032,Das Kapital,資本論,敵全員を睡眠状態にすることがある
1032,Das Kapital,資本論,自分のHPを、自分の最大HPの10%分回復
1033,Three Stage Thrust,三段突き,初めてHPが50％未満になった時、「先頭の敵にPHYの50％分のダメージ」を3回繰り返す
1033,Three Stage Thrust,三段突き,初めてHPが50％未満になった時、「先頭の敵にPHYの50％分のダメージ」を3回繰り返す
1033,Three Stage Thrust,三段突き,初めてHPが50％未満になった時、「先頭の敵にPHYの50％分のダメージ」を3回繰り返す
1034,Swan Lake,白鳥の湖,初死亡時、HP20%で復活し、自分のAGIを30%アップ
1034,Swan Lake,白鳥の湖,初死亡時、HP20%で復活し、自分のAGIを30%アップ
1035,The generalissimo,大将軍,初めて自分が死亡した後、100%の確率で発動 : 味方全員のPHYを、自分のPHYの70%分アップ
1035,The generalissimo,大将軍,味方全員のCHARGEを、対象のPHYの250%分アップ
1036,Les Propheties,大予言,初めて自分のHPが50%未満になった後、100%の確率で発動 : 敵全員を混乱状態にすることがある
1036,Les Propheties,大予言,敵全員のPHY/INT/AGIの高い方を、対象のPHY/INT/AGI増加分合計の100%分ダウン
1037,One for all/ All for one,ワンフォーオール・オールフォーワン,バトル開始時、味方全員のPHY / INTをINTの10%分アップ
1037,One for all/ All for one,ワンフォーオール・オールフォーワン,バトル開始時、味方全員のPHY / INTをINTの10%分アップ
1038,The Elekiter,エレキテル,初めて自分のHPが60%未満になった後、100%の確率で発動 : 自分のINTを、自分のINT低下分の90%分アップ
1038,The Elekiter,エレキテル,敵全員のHPに、自分のINTの40%分ダメージ
1039,Six Secret Teachings,六韜,初めて自分のHPが65%未満になった後、100%の確率で発動 : 味方全員のINTを、対象のINT増加分の80%分ダウン
1039,Six Secret Teachings,六韜,味方全員のINTを、自分のINTの50%分アップ
1039,Six Secret Teachings,六韜,味方全員のCHARGEを、自分のINTの200%分アップ
1041,My Lord,伊賀越え,初めて味方全体の合計HPが70％未満になった時、味方全体に100%の回復効果を与える
1042,Town Musicians of Bremen,ブレーメンの音楽隊,ダメージを受けた時、自分に10%の回復効果を与え、先頭の敵に混乱効果を与えることがある
1042,Town Musicians of Bremen,ブレーメンの音楽隊,ダメージを受けた時、自分に10%の回復効果を与え、先頭の敵に混乱効果を与えることがある
1047,Kingslayer,人中に呂布あり,Battle開始時、100%の確率で発動 : 自分のPHYを、自分のPHYの10%分アップ
1047,Kingslayer,人中に呂布あり,先頭の敵のHPに、自分のPHYの60%分ダメージ
1047,Kingslayer,人中に呂布あり,敵全員を恐怖にすることがある
1048,Present for you,プレゼント・フォー・ユー,自分がActiveSkillを使用した後、24%の確率で発動 : 一番HPの低い味方のHPを、回復係数の12%-25%分回復
1048,Present for you,プレゼント・フォー・ユー,一番HPの低い味方のHPを、回復係数の12%-25%分回復
1048,Present for you,プレゼント・フォー・ユー,一番HPの低い味方のHPを、回復係数の12%-25%分回復
1049,Thieves never die,世に盗人の種は尽くまじ,初死亡時、HP30%で復活し、敵全体にPHYの20％分のダメージを与える
1049,Thieves never die,世に盗人の種は尽くまじ,初死亡時、HP30%で復活し、敵全体にPHYの20％分のダメージを与える
1052,KO univ,KO義塾,初死亡時、味方全員のINTをINTの20%分アップ
1053,Schrödinger's Cat,シュレディンガーの猫,初死亡時50%の確率で、HP30%で復活し、INTとAGIを20％アップ
1053,Schrödinger's Cat,シュレディンガーの猫,初死亡時50%の確率で、HP30%で復活し、INTとAGIを20％アップ
1053,Schrödinger's Cat,シュレディンガーの猫,初死亡時50%の確率で、HP30%で復活し、INTとAGIを20％アップ
1054,Tourism,ツァーリズム,初めて味方全員の合計HPが70%未満になった後、100%の確率で発動 : 味方全員のHPに、自分のINTの15%分ダメージ
1054,Tourism,ツァーリズム,味方全員のPHYを、自分のINTの20%分アップ
1054,Tourism,ツァーリズム,味方全員のINTを、自分のINTの20%分アップ
1054,Tourism,ツァーリズム,味方全員のPHYを、対象のPHY低下分の50%分アップ
1054,Tourism,ツァーリズム,味方全員のINTを、対象のINT低下分の50%分アップ
1055,Kido,鬼道,バトル開始時、味方と敵全てのINTをINTの50％分ダウン
1055,Kido,鬼道,バトル開始時、味方と敵全てのINTをINTの50％分ダウン
1057,Baroque,バロック,自分がActiveSkillを使用した後、30%の確率で発動 : 味方全員のPHYを、自分のINTの15%分アップ
1057,Baroque,バロック,味方全員のINTを、自分のINTの15%分アップ
1057,Baroque,バロック,味方全員のAGIを、自分のINTの10%分アップ
1058,Blue wolf,蒼狼,自分がActiveSkillでダメージを受けた後、100%の確率で発動 : 先頭の敵のHPに、自分のPHYの40%分ダメージ
1058,Blue wolf,蒼狼,自分のCHARGEを、敵全体のAGI増加分合計の25%-35%分アップ
1064,Standing beneath Benkei,弁慶の立往生,初死亡時、HP100％で復活し、このヒーローのPHYとINTを100％ダウン
1064,Standing beneath Benkei,弁慶の立往生,初死亡時、HP100％で復活し、このヒーローのPHYとINTを100％ダウン
1064,Standing beneath Benkei,弁慶の立往生,初死亡時、HP100％で復活し、このヒーローのPHYとINTを100％ダウン
1065,Sunflowers,ひまわり,Active時30%の確率で味方全員のINTをこのヒーローのINTの30%分アップし、このヒーローは混乱することがある
1065,Sunflowers,ひまわり,Active時30%の確率で味方全員のINTをこのヒーローのINTの30%分アップし、このヒーローは混乱することがある
1067,My last job,最後のいくさしてみせ奉らん,初めて自分のHPが30%未満になった後、100%の確率で発動 : 一番INTの高い敵のHPに、自分のPHYの160%分ダメージ
1067,My last job,最後のいくさしてみせ奉らん,自分のHPに、自分のPHYの20%-40%分ダメージ
1068,Archery princess,弓腰姫,ダメージを受けた時、先頭の敵にPHYの15%分ダメージ
1070,Chaining scheme,連環の計,バトル開始時、敵全体のPHYとINTをこのヒーローのINTの10%分ダウン
1070,Chaining scheme,連環の計,バトル開始時、敵全体のPHYとINTをこのヒーローのINTの10%分ダウン
1071,Thinking reed,考える葦,このヒーローのHPが初めて70%未満になった時、味方全体のINTをこのヒーローのINTの10％分アップし、10％の回復効果を与える
1071,Thinking reed,考える葦,このヒーローのHPが初めて70%未満になった時、味方全体のINTをこのヒーローのINTの10％分アップし、10％の回復効果を与える
1073,Blessing of Valentinus,ヴァレンティヌスの祝福,自分がActiveSkillを使用した後、100%の確率で発動 : 先頭の味方のHPを、回復係数の10%-20%分回復
1073,Blessing of Valentinus,ヴァレンティヌスの祝福,一番HPの低い味方のHPを、回復係数の10%分回復
1074,The Metamorphosis,変身,Battle開始時、100%の確率で発動 : 味方全員のHPを、回復係数の30%分回復
1074,The Metamorphosis,変身,味方全員のAGIを、自分のAGIの10%分アップ
1075,A military operation involves deception.,兵は詭道なり,Battle開始時、100%の確率で発動 : 敵全員のAGIを、自分のINTの15%-20%分ダウン
1075,A military operation involves deception.,兵は詭道なり,味方全員のAGIを、自分のINTの10%分ダウン
1077,Giant killing,巨人殺し,自分がActive時25%の確率で、先頭の敵にPHYの30%分ダメージ
1078,Furinkazan,風林火山,初めてこのヒーローのHPが40％未満になった時、味方全体のPHYとAGIをこのヒーローの最大HPの10~25％分アップ
1078,Furinkazan,風林火山,初めてこのヒーローのHPが40％未満になった時、味方全体のPHYとAGIをこのヒーローの最大HPの10~25％分アップ
1079,Princess Powhatan,ポウハタンの姫,Active時、20%の確率で先頭の敵に15%の回復効果を与え、敵全体のAGIをこのヒーローのINTの15％分ダウン
1079,Princess Powhatan,ポウハタンの姫,Active時、20%の確率で先頭の敵に15%の回復効果を与え、敵全体のAGIをこのヒーローのINTの15％分ダウン
1083,Taisei hokan,大政奉還,自分がActiveSkillを使用した後、40%の確率で発動 : 自分のINTを、自分のINT低下分の30%分アップ
1083,Taisei hokan,大政奉還,敵全員のPHYを、自分のINTの15%分ダウン
1083,Taisei hokan,大政奉還,敵全員のINTを、自分のINTの15%分ダウン
1083,Taisei hokan,大政奉還,自分のINTを、自分のINTの40%分ダウン
1086,Hypnotic Beauty,戦乱を呼ぶ美貌,自分がActiveSkillでダメージを受けた後、100%の確率で発動 : 一番AGIの高い敵を魅了状態にすることがある
1086,Hypnotic Beauty,戦乱を呼ぶ美貌,一番AGIの高い敵のAGIを、自分が受けたダメージの25%分ダウン
1090,Hand Cannon,突っ張り,バトル開始時、このヒーローのPHYをこのヒーローのPHYの30%分アップ
1092,Sanada Maru,真田丸,初めて味方全員の合計HPが80%未満になった後、100%の確率で発動 : 先頭の敵のPHYを、自分のPHYの60%分ダウン
1092,Sanada Maru,真田丸,先頭の敵のINTを、自分のPHYの60%分ダウン
1092,Sanada Maru,真田丸,中衛の敵のPHYを、自分のPHYの30%分ダウン
1092,Sanada Maru,真田丸,中衛の敵のINTを、自分のPHYの30%分ダウン
1092,Sanada Maru,真田丸,自分のAGIを、自分のAGIの100%分ダウン
1099,Water Lilies,睡蓮,自分がActiveSkillを使用した後、40%の確率で発動 : 先頭の味方のHPを、自分の最大HPの10%分回復
1099,Water Lilies,睡蓮,一番PHYの高い敵を睡眠状態にすることがある
1100,Bear and Sumo,けだものあつめて すもうのけいこ,自分がActiveSkillを使用した後、55%の確率で発動 : 先頭の敵のPHYを、対象のPHYの20%分アップ
1100,Bear and Sumo,けだものあつめて すもうのけいこ,自分のPHYを、自分のPHYの40%分アップ
1102,Flash of Cutlass,一閃のカットラス,チーム全体のHPが60％未満になった時、先頭の敵にこのヒーローのPHYの120％分ダメージを与える
1104,Sherlock Holmes,シャーロック・ホームズ,このヒーローのHPが初めて70％未満になった時、先頭の味方のINTをこのヒーローのINTの30％分アップ
1105,One Eye's General,隻眼の副将,Active時25％の確率でこのヒーローのPHYの5％分、先頭の味方のAGIをアップ
1106,Namikiri,浪切,Active時30％の確率で、先頭の味方のPHYをこのヒーローのPHYの15％分ダウンし、先頭の敵にこのヒーローのPHYの40％分ダメージを与える
1106,Namikiri,浪切,Active時30％の確率で、先頭の味方のPHYをこのヒーローのPHYの15％分ダウンし、先頭の敵にこのヒーローのPHYの40％分ダメージを与える
1107,Bard of Avon,エイボンの吟遊詩人,自分がActiveSkillを使用した後、40%の確率で発動 : 味方全員のINTを、自分のINTの20%分アップ
1107,Bard of Avon,エイボンの吟遊詩人,敵全員を睡眠状態にすることがある
1107,Bard of Avon,エイボンの吟遊詩人,味方全員を睡眠状態にすることがある
1107,Bard of Avon,エイボンの吟遊詩人,自分のINTを、自分のINT増加分の100%分ダウン
1111,King of Conqueror,征服王の偉業,初死亡時、先頭の味方にこのヒーローのPHYとINTとAGIのそれぞれ120％-140%分アップ
1111,King of Conqueror,征服王の偉業,初死亡時、先頭の味方にこのヒーローのPHYとINTとAGIのそれぞれ120％-140%分アップ
1111,King of Conqueror,征服王の偉業,初死亡時、先頭の味方にこのヒーローのPHYとINTとAGIのそれぞれ120％-140%分アップ
1112,Unified All of China,中国統一,チーム全体のHPが55％未満になった時、敵味方全体のAGIをの100％ダウンし、このヒーローのAGIをデバフ分100％アップ
1112,Unified All of China,中国統一,チーム全体のHPが55％未満になった時、敵味方全体のAGIをの100％ダウンし、このヒーローのAGIをデバフ分100％アップ
1112,Unified All of China,中国統一,チーム全体のHPが55％未満になった時、敵味方全体のAGIをの100％ダウンし、このヒーローのAGIをデバフ分100％アップ
1113,Genpei Downhill Rush,鵯越の逆落とし,自分がActiveSkillを使用した後、50%の確率で発動 : 自分のAGIを、自分のAGIの20%分アップ
1113,Genpei Downhill Rush,鵯越の逆落とし,一番INTの高い敵のPHYを、自分のPHYの20%分ダウン
1113,Genpei Downhill Rush,鵯越の逆落とし,一番INTの高い敵を恐怖にすることがある
1114,Incarnation of Bashamon,毘沙門天の化身,初めてこのヒーローのHPが40％未満になった時、味方全体のINTとAGIをこのヒーローの最大HPの10~25％分アップ
1114,Incarnation of Bashamon,毘沙門天の化身,初めてこのヒーローのHPが40％未満になった時、味方全体のINTとAGIをこのヒーローの最大HPの10~25％分アップ
1116,Precision of Musket,精緻のマスケット,初めて味方全員の合計HPが60%未満になった後、100%の確率で発動 : 最もHPの低い敵のHPに、自分のINT低下分の150%分ダメージ
1116,Precision of Musket,精緻のマスケット,自分のINTを、自分のINTの30%分アップ
1116,Precision of Musket,精緻のマスケット,最もHPの低い敵のHPに、自分のINTの100%分ダメージ
1118,Emancipation Proclamation,奴隷解放宣言,味方全体のHPが50％未満になった時、味方全体に30％回復を与え、敵全体に40-50％のINTダメージを与える
1118,Emancipation Proclamation,奴隷解放宣言,味方全体のHPが50％未満になった時、味方全体に30％回復を与え、敵全体に40-50％のINTダメージを与える
1119,Daughter of Herodias,ヘロディアの娘,自分がActiveSkillでダメージを受けた後、50%の確率で発動 : 自分のPHYを、自分のPHYの5%分アップ
1119,Daughter of Herodias,ヘロディアの娘,一番HPの低い味方のHPを、自分が受けたダメージの25%分回復
1119,Daughter of Herodias,ヘロディアの娘,先頭の敵を恐怖状態にすることがある
1124,Monkey Success Story,功名立志伝,バトル開始時、最もPHYの高い味方のAGIをこのヒーローのAGIの20%分アップ
1125,Nanakomachi,七小町,チーム全体の合計HPが80％未満になった時、味方全体のPHYをその味方のダウンしている分の100％分PHYをアップし、味方全体のINTをその味方のダウンしている分の100％分INTをアップ
1125,Nanakomachi,七小町,チーム全体の合計HPが80％未満になった時、味方全体のPHYをその味方のダウンしている分の100％分PHYをアップし、味方全体のINTをその味方のダウンしている分の100％分INTをアップ
1126,Nagasone Konetsu,長曽祢虎徹,Active時30%の確率で味方全員のPHYをこのヒーローのPHYの30%分アップし、このヒーローは混乱することがある
1126,Nagasone Konetsu,長曽祢虎徹,Active時30%の確率で味方全員のPHYをこのヒーローのPHYの30%分アップし、このヒーローは混乱することがある
1127,Queen Anne's Revenge,クイーン・アンズ・リベンジ,アクティブ時30%の確率で最後尾の敵のAGIを自分のAGIの10-20%ダウンし、自分のAGIを自分のAGIの10-20%分アップし、自分のHPを自分のAGIの10-20%分回復する
1127,Queen Anne's Revenge,クイーン・アンズ・リベンジ,アクティブ時30%の確率で最後尾の敵のAGIを自分のAGIの10-20%ダウンし、自分のAGIを自分のAGIの10-20%分アップし、自分のHPを自分のAGIの10-20%分回復する
1127,Queen Anne's Revenge,クイーン・アンズ・リベンジ,アクティブ時30%の確率で最後尾の敵のAGIを自分のAGIの10-20%ダウンし、自分のAGIを自分のAGIの10-20%分アップし、自分のHPを自分のAGIの10-20%分回復する
1128,after crossing five passes and slaying six generals,過五関斬六将,自分がActiveSkillを使用した後、65%の確率で発動 : 自分のHPに、自分の最大HPの5%-10%分ダメージ
1128,after crossing five passes and slaying six generals,過五関斬六将,自分のPHYを、自分のHP減少分の20%分アップ
1128,after crossing five passes and slaying six generals,過五関斬六将,先頭の敵のHPに、自分のPHYの40%-50%分ダメージ
1128,after crossing five passes and slaying six generals,過五関斬六将,自分のPHYを、自分のHP減少分の15%分ダウン
1129,The Tortoise and the Hare,うさぎとかめ,初めて自分のHPが60%未満になった後、100%の確率で発動 : 一番INTの高い敵のAGIを、対象のAGIの100%分ダウン
1129,The Tortoise and the Hare,うさぎとかめ,一番INTの高い敵のAGIを、自分のAGIの30%分アップ
1130,Sister Rebellion,姉妹の反乱,敵の誰かがActiveSkillを使用した後、20%の確率で発動 : 最後尾の敵のHPに、自分のPHY低下分の70%-100%分ダメージ
1130,Sister Rebellion,姉妹の反乱,最後尾の敵のHPに、自分のINT低下分の70%-100%分ダメージ
1131,Legend of the Sanzoku Queen,山賊女王の伝説,誰かがActiveSkillを使用した後、8%の確率で発動 : 一番INTの高い敵のHPに、自分のINTの70%分ダメージ
1132,Happy and Unhappy,めでたくもあり・めでたくもなし,初めて自分が死亡した後、100%の確率で発動 : 自分のHPを、自分の最大HPの20%分回復
1132,Happy and Unhappy,めでたくもあり・めでたくもなし,最後尾の敵のHPに、自分のINTの30%-50%分ダメージ
1133,Around the World,受け継がれた世界一周,初死亡時、75%の確率でHP50%の状態で復活し、味方全員のPHYを自分のPHYの25%分アップ
1133,Around the World,受け継がれた世界一周,初死亡時、75%の確率でHP50%の状態で復活し、味方全員のPHYを自分のPHYの25%分アップ
1135,Curse of the pharaohs,ファラオの呪い,バトル開始時、敵全員のHPに自分のPHYの80％ダメージ
1136,Kyukyunyoritsuryo,急急如律令,最後尾の敵がActiveSkillを使用した後、50%の確率で発動 : 一番INTの高い敵のINTを、対象のINTの20%分ダウン
1136,Kyukyunyoritsuryo,急急如律令,一番INTの高い敵を睡眠にすることがある
1136,Kyukyunyoritsuryo,急急如律令,一番HPの低い味方のHPを、自分の最大HPの15%-20%分回復
1137,Yayako-Dance,ややこ踊り,味方全員の合計HPが60%未満になったあと、100%発動。敵全体のHPにPHYの35-55%分のダメージ
1139,Green Gables,グリーンゲイブルズ,自分がActiveSkillを使用した後、30%の確率で発動 : 最後尾の敵のHPに、自分のINTの30%分ダメージ
1139,Green Gables,グリーンゲイブルズ,最後尾の敵のHPに、自分のINT低下分の50%分ダメージ
1140,Tabaru Slope,田原坂,初めて自分のHPが50%未満になった後、100%の確率で発動 : 敵全員のINTを、対象のINTの30%-40%分ダウン
1140,Tabaru Slope,田原坂,敵全員を睡眠状態にすることがある
1142,Kokushimuso,国士無双,アクティブでダメージうけると20%で発動。最後尾の敵のPHY10%ダウン、最後尾の敵のHPにPHY120%ダメージ
1145,Main meri Jhansi nahi doongi,メーレー・ジャーンシー・ナヒン・デーンゲー,味方全体のAGIを自分のPHYの15%UP、敵全体のAGIを自分のPHYの10%ダウン
1145,Main meri Jhansi nahi doongi,メーレー・ジャーンシー・ナヒン・デーンゲー,味方全体のAGIを自分のPHYの15%UP、敵全体のAGIを自分のPHYの10%ダウン
1145,Main meri Jhansi nahi doongi,メーレー・ジャーンシー・ナヒン・デーンゲー,味方全体のAGIを自分のPHYの15%UP、敵全体のAGIを自分のPHYの10%ダウン
1146,Tesla coil,テスラコイル,自分がActiveSkillを使用した後、20%の確率で発動 : 味方全員のPHYを、自分のPHYの30%分アップ
1146,Tesla coil,テスラコイル,味方全員の混乱状態を80%の確率で解除する
1148,100000 horsepower,10万馬力,アクティブ100%発動。自分のPHYを自分のPHY15%アップ
1150,Chu song from four sides,破滅哀歌,バトル開始時、敵全員のPHYを自分のPHYの50%ダウン、味方全員のPHYを自分のPHYの50%ダウン
1150,Chu song from four sides,破滅哀歌,バトル開始時、敵全員のPHYを自分のPHYの50%ダウン、味方全員のPHYを自分のPHYの50%ダウン
1151,Star of Chivalry,騎士道の華,アクティブ40%、自分のPHY30%アップ、一番AGIの高い敵のPHYを対象のAGIの30%ダウン、一番AGIの高い敵を出血状態にする
1151,Star of Chivalry,騎士道の華,アクティブ40%、自分のPHY30%アップ、一番AGIの高い敵のPHYを対象のAGIの30%ダウン、一番AGIの高い敵を出血状態にする
1151,Star of Chivalry,騎士道の華,アクティブ40%、自分のPHY30%アップ、一番AGIの高い敵のPHYを対象のAGIの30%ダウン、一番AGIの高い敵を出血状態にする
1154,ethology,動物行動学,初めて自分のHPが80%未満になった後、100%の確率で発動 : 自分のINTを、自分のINTの100%分ダウン
1154,ethology,動物行動学,最もPHYが高い味方のPHYを、自分のINT低下分の75%分アップ
1154,ethology,動物行動学,味方全員のHPを、自分のINT低下分の45%分回復
1156,Russia’s Mad Monk,ロシアの怪僧,敵の誰かがアクティブスキル発動時、20%の確率で自分のPHYのデバフ分の40-60%分と自分のINTのデバフ分の40〜60%分、先頭の敵にダメージを与える
1156,Russia’s Mad Monk,ロシアの怪僧,敵の誰かがアクティブスキル発動時、20%の確率で自分のPHYのデバフ分の40-60%分と自分のINTのデバフ分の40〜60%分、先頭の敵にダメージを与える
1156,Russia’s Mad Monk,ロシアの怪僧,敵の誰かがアクティブスキル発動時、20%の確率で自分のPHYのデバフ分の40-60%分と自分のINTのデバフ分の40〜60%分、先頭の敵にダメージを与える
1156,Russia’s Mad Monk,ロシアの怪僧,敵の誰かがアクティブスキル発動時、20%の確率で自分のPHYのデバフ分の40-60%分と自分のINTのデバフ分の40〜60%分、先頭の敵にダメージを与える
1157,Prince Huan of Changsha,長沙桓王,自分HP60%発動、自分のPHY50%UP、一番低い敵のHPにPHYの40％ダメを3回、自分のPHYを50%ダウン
1157,Prince Huan of Changsha,長沙桓王,自分HP60%発動、自分のPHY50%UP、一番低い敵のHPにPHYの40％ダメを3回、自分のPHYを50%ダウン
1157,Prince Huan of Changsha,長沙桓王,自分HP60%発動、自分のPHY50%UP、一番低い敵のHPにPHYの40％ダメを3回、自分のPHYを50%ダウン
1157,Prince Huan of Changsha,長沙桓王,自分HP60%発動、自分のPHY50%UP、一番低い敵のHPにPHYの40％ダメを3回、自分のPHYを50%ダウン
1157,Prince Huan of Changsha,長沙桓王,自分HP60%発動、自分のPHY50%UP、一番低い敵のHPにPHYの40％ダメを3回、自分のPHYを50%ダウン
1157,Prince Huan of Changsha,長沙桓王,自分HP60%発動、自分のPHY50%UP、一番低い敵のHPにPHYの40％ダメを3回、自分のPHYを50%ダウン
1157,Prince Huan of Changsha,長沙桓王,自分HP60%発動、自分のPHY50%UP、一番低い敵のHPにPHYの40％ダメを3回、自分のPHYを50%ダウン
1159,Zhang Liao is coming!,遼来遼来,被ダメ80%、最後尾の敵のHPに、自分のPHYの20%分ダメージ
1160,Lobo the King of Currumpaw,狼王ロボ,戦闘開始時、最もPHYの高い敵に自分のINTの40%ダメージ。最もPHYの高い敵を出血状態にする事がある。
1160,Lobo the King of Currumpaw,狼王ロボ,戦闘開始時、最もPHYの高い敵に自分のINTの40%ダメージ。最もPHYの高い敵を出血状態にする事がある。
1164,Fertility god Baal's Lightning,豊穣神バアルの雷光,敵の誰かがActiveSkillを使用した後、25%の確率で発動 : 一番HPの低い敵のHPに、味方全体のAGI低下分合計の100%分ダメージ
1164,Fertility god Baal's Lightning,豊穣神バアルの雷光,味方全員のHPに、敵全体のAGI低下分合計の80%分ダメージ
1165,Tetractys,テトラクテュス,初めて自分のHPが40%未満になった後、100%の確率で発動 : 最もPHYが高い味方のPHYを、自分のINTの28%分アップ
1165,Tetractys,テトラクテュス,最もINTが高い味方のINTを、自分のPHYの28%分アップ
1166,Joseon dynasty's Uinyeo,李氏朝鮮、宮廷医女,自分がActiveSkillを使用した後、15%の確率で発動 : 一番HPの低い味方のHPを、回復係数の15%分回復
1171,Newton's law of universal gravitation,万有引力,初めて味方全員の合計HPが80%未満になった後、100%の確率で発動 : 味方全員のAGIを、対象のAGI増加分の100%分ダウン
1171,Newton's law of universal gravitation,万有引力,味方全員のAGIを、対象のAGI低下分の100%分アップ
1171,Newton's law of universal gravitation,万有引力,敵全員のAGIを、対象のAGI増加分の100%分ダウン
1171,Newton's law of universal gravitation,万有引力,敵全員のAGIを、対象のAGI低下分の100%分アップ
1171,Newton's law of universal gravitation,万有引力,味方全員をバリア状態にすることがある
1172,Battle of Red Cliffs,赤壁の戦い,敵の誰かがActiveSkillを使用した後、10%の確率で発動 : 味方全員のPHY/INTの高い方を、自分のINTの20%-25%分アップ
