exec,enemyType,name_en,name_ja,name_zh,param_hp,param_phy,param_int,param_agi,trend_hp,trend_phy,trend_int,trend_agi,actives,passive,image
FALSE,338,Heartbleed-venti doppio,ハートブリード ヴェンティ ドッピオ,Heartbleed-venti doppio,7,6,9,6,32,25,38,25,4011/4005/4005,4016,155.png
FALSE,339,Heartbleed-frappuccino doppio,ハートブリード フラペチーノ ドッピオ,Heartbleed-frappuccino doppio,13,12,15,12,32,27,34,27,4012/4012/4010,0,156.png
FALSE,340,Melissa-short,メリッサ ショート,Melissa-short,6,4,6,4,36,24,36,24,4002/4002/4007,0,131.png
FALSE,341,Melissa-tall,メリッサ トール,Melissa-tall,7,5,7,5,35,25,35,25,4002/4002/4007,0,132.png
FALSE,342,Melissa-grande,メリッサ グランデ,Melissa-grande,7,5,7,5,35,25,35,25,4013/4013/4002,0,133.png
FALSE,343,Melissa-venti,メリッサ ヴェンティ,Melissa-venti,8,6,8,6,36,25,34,25,4004/4006/4006,4017,134.png
FALSE,344,Melissa-macchiato,メリッサ マキアート,Melissa-macchiato,7,5,7,5,35,25,35,25,4004/4004/4004,0,135.png
FALSE,345,Melissa-frappuccino,メリッサ フラペチーノ,Melissa-frappuccino,14,12,14,12,34,27,32,27,4004/4004/4014,0,136.png
FALSE,346,Melissa-tall doppio,メリッサ トール ドッピオ,Melissa-tall doppio,7,5,7,5,35,25,35,25,4002/4004/4007,0,142.png
FALSE,347,Melissa-grande doppio,メリッサ グランデ ドッピオ,Melissa-grande doppio,7,5,7,5,35,25,35,25,4004/4006/4008,0,144.png
FALSE,348,Melissa-venti doppio,メリッサ ヴェンティ ドッピオ,Melissa-venti doppio,8,6,8,6,36,25,34,25,4004/4008/4006,4009,146.png
FALSE,349,Melissa-frappuccino doppio,メリッサ フラペチーノ ドッピオ,Melissa-frappuccino doppio,14,12,14,12,34,27,32,27,4014/4004/4004,0,148.png
FALSE,350,Byte Bandit-short,バイトバンディット ショート,Byte Bandit-short,11,6,2,5,26,43,14,36,4018/4001/4001,0,161.png
FALSE,351,Byte Bandit-tall,バイトバンディット トール,Byte Bandit-tall,15,7,3,5,30,42,18,30,4018/4001/4001,0,162.png
FALSE,352,Byte Bandit-grande,バイトバンディット グランデ,Byte Bandit-grande,9,7,3,7,18,42,18,42,4018/4001/4018,0,163.png
FALSE,353,Byte Bandit-venti,バイトバンディット ヴェンティ,Byte Bandit-venti,16,10,3,7,25,47,14,33,4018/4003/4005,4020,164.png
FALSE,354,Byte Bandit-macchiato,バイトバンディット マキアート,Byte Bandit-macchiato,15,7,3,5,30,42,18,30,4019/4001/4001,0,165.png
FALSE,355,Byte Bandit-frappuccino,バイトバンディット フラペチーノ,Byte Bandit-frappuccino,19,19,5,13,18,53,14,36,4019/4001/4003,0,166.png
FALSE,356,Byte Bandit-tall doppio,バイトバンディット トール ドッピオ,Byte Bandit-tall doppio,15,7,3,5,30,42,18,30,4019/4003/4003,0,167.png
FALSE,357,Byte Bandit-grande doppio,バイトバンディット グランデ ドッピオ,Byte Bandit-grande doppio,9,7,3,7,18,42,18,42,4018/4003/4018,0,168.png
FALSE,358,Byte Bandit-venti doppio,バイトバンディット ヴェンティ ドッピオ,Byte Bandit-venti doppio,16,10,3,5,27,51,15,26,4018/4003/4005,4020,169.png
FALSE,359,Byte Bandit-frappuccino doppio,バイトバンディット フラペチーノ ドッピオ,Byte Bandit-frappuccino doppio,19,19,5,13,18,53,14,36,4019/4003/4003,0,170.png
FALSE,360,Bagle-short,ベーグル ショート,Bagle-short,18,3,5,3,42,21,36,21,4002/4002/4002,0,181.png
FALSE,361,Bagle-tall,ベーグル トール,Bagle-tall,21,4,6,3,42,24,36,18,4004/4004/4004,4024,182.png
FALSE,362,Bagle-grande,ベーグル グランデ,Bagle-grande,15,4,6,5,30,24,36,30,4013/4004/4013,4024,183.png
FALSE,363,Bagle-venti,ベーグル ヴェンティ,Bagle-venti,21,4,9,5,34,19,43,24,4006/4004/4006,4025,184.png
FALSE,364,Bagle-macchiato,ベーグル マキアート,Bagle-macchiato,21,4,6,3,42,24,36,18,4004/4004/4004,4025,185.png
FALSE,365,Bagle-frappuccino,ベーグル フラペチーノ,Bagle-frappuccino,24,6,18,11,22,17,50,31,4004/4004/4006,4026,186.png
FALSE,366,Bagle-tall doppio,ベーグル トール ドッピオ,Bagle-tall doppio,21,4,6,3,42,24,36,18,4004/4004/4004,4024,366.png
FALSE,367,Bagle-grande doppio,ベーグル グランデ ドッピオ,Bagle-grande doppio,15,4,6,5,30,24,36,30,4013/4004/4013,4024,367.png
FALSE,368,Bagle-venti doppio,ベーグル ヴェンティ ドッピオ,Bagle-venti doppio,21,4,9,5,34,19,43,24,4006/4004/4006,4025,368.png
FALSE,369,Bagle-frappuccino doppio,ベーグル フラペチーノ ドッピオ,Bagle-frappuccino doppio,24,6,18,11,22,17,50,31,4004/4004/4006,4026,369.png
FALSE,370,Heisei Yoshka,ヘイセイ・ヨシュカ,Heisei Yoshka,35000000,1,1,1,30,30,30,30,4028/4029/4030,0,370.png
FALSE,371,Monsoon Yoshka,モンスーン・ヨシュカ,Monsoon Yoshka,70000000,1,1,1,30,30,30,30,4021/4022/4033,4032,371.png
FALSE,372,Puli Beast,プーリー・ビースト,Puli Beast,35000000,1,1,1,30,30,30,30,4034/4035/4036,4037,372.png
FALSE,373,Dark Lord Fao,覚醒魔王ファオ ,Dark Lord Fao,66666666,300,300,1,30,30,30,30,4038/4039/4040,4041,373.png
FALSE,374,Halloween Puli,ハロウィン・プーリー,Halloween Puli,71031031,1,1,1,30,30,30,30,4042/4043/4044,4045,374.png
FALSE,375,Cascade-short,カスケード ショート,Cascade-short,8,4,4,4,44,36,14,26,4001/4001/4005,0,375.png
FALSE,376,Cascade-tall,カスケード トール,Cascade-tall,9,5,5,5,41,37,15,27,4003/4003/4005,4046,376.png
FALSE,377,Cascade-grande,カスケード グランデ,Cascade-grande,9,5,5,5,41,27,25,27,4010/4003/4003,4048,377.png
FALSE,378,Cascade-venti,カスケード ヴェンティ,Cascade-venti,10,6,6,6,41,37,15,27,4005/4003/4005,4047,378.png
FALSE,379,Cascade-macchiato,カスケード マキアート,Cascade-macchiato,9,5,5,5,41,37,15,27,4010/4010/4005,0,379.png
FALSE,380,Cascade-frappuccino,カスケード フラペチーノ,Cascade-frappuccino,16,12,12,12,41,37,15,27,4005/4003/4005,0,380.png
FALSE,381,Cascade-tall doppio,カスケード トール ドッピオ,Cascade-tall doppio,9,5,5,5,41,37,15,27,4003/4003/4005,4046,381.png
FALSE,382,Cascade-grande doppio,カスケード グランデ ドッピオ,Cascade-grande doppio,9,5,5,5,41,27,25,27,4011/4003/4003,4048,382.png
FALSE,383,Cascade-venti doppio,カスケード ヴェンティ ドッピオ,Cascade-venti doppio,10,6,6,6,41,37,15,27,4005/4003/4005,4047,383.png
FALSE,384,Cascade-macchiato doppio,カスケード マキアート ドッピオ,Cascade-macchiato doppio,16,12,12,12,41,37,15,27,4005/4003/4005,0,384.png
FALSE,385,Cascade-frappuccino doppio,カスケード フラペチーノ ドッピオ,Cascade-frappuccino doppio,16,12,12,12,41,37,15,27,4005/4003/4005,0,385.png
FALSE,386,Rabbit-short,ラビット ショート,Rabbit-short,5,7,4,4,32,22,42,24,4002/4002/4004,0,386.png
FALSE,387,Rabbit-tall,ラビット トール,Rabbit-tall,6,8,5,5,32,23,40,25,4002/4004/4004,4046,387.png
FALSE,388,Rabbit-grande,ラビット グランデ,Rabbit-grande,6,8,5,5,32,23,40,25,4013/4013/4002,4048,388.png
FALSE,389,Rabbit-venti,ラビット ヴェンティ,Rabbit-venti,7,9,6,6,34,23,38,25,4004/4006/4006,4047,389.png
FALSE,390,Rabbit-macchiato,ラビット マキアート,Rabbit-macchiato,6,8,5,5,32,23,40,25,4004/4004/4004,0,390.png
FALSE,391,Rabbit-frappuccino,ラビット フラペチーノ,Rabbit-frappuccino,13,15,12,12,34,25,34,27,4015/4015/4004,0,391.png
FALSE,392,Rabbit-tall doppio,ラビット トール ドッピオ,Rabbit-tall doppio,6,8,5,5,32,23,40,25,4002/4004/4004,4046,392.png
FALSE,393,Rabbit-grande doppio,ラビット グランデ ドッピオ,Rabbit-grande doppio,6,8,5,5,32,23,40,25,4013/4013/4002,4048,393.png
FALSE,394,Rabbit-venti doppio,ラビット ヴェンティ ドッピオ,Rabbit-venti doppio,7,9,6,6,34,23,38,25,4004/4006/4006,4047,394.png
FALSE,395,Rabbit-macchiato doppio,ラビット マキアート ドッピオ,Rabbit-macchiato doppio,13,15,12,12,34,25,34,27,4015/4015/4004,0,395.png
FALSE,396,Rabbit-frappuccino doppio,ラビット フラペチーノ ドッピオ,Rabbit-frappuccino doppio,13,15,12,12,34,25,34,27,4015/4015/4004,0,396.png
FALSE,397,Love letter-short,ラブレター ショート,Love letter-short,5,4,7,4,32,24,40,24,4010/4001/4001,0,397.png
FALSE,398,Love letter-tall,ラブレター トール,Love letter-tall,6,5,8,5,32,25,38,25,4010/4005/4010,4046,398.png
FALSE,399,Love letter-grande,ラブレター グランデ,Love letter-grande,7,6,9,6,34,25,36,25,4010/4005/4005,4048,399.png
FALSE,400,Love letter-venti,ラブレター ヴェンティ,Love letter-venti,6,5,8,5,32,25,38,25,4010/4003/4003,4047,400.png
FALSE,401,Love letter-macchiato,ラブレター マキアート,Love letter-macchiato,13,12,15,12,34,27,32,27,4012/4012/4003,0,401.png
FALSE,402,Love letter-frappuccino,ラブレター フラペチーノ,Love letter-frappuccino,6,5,8,5,32,25,38,25,4011/4003/4003,0,402.png
FALSE,403,Love letter-tall doppio,ラブレター トール ドッピオ,Love letter-tall doppio,6,5,8,5,32,25,38,25,4012/4005/4010,4046,403.png
FALSE,404,Love letter-grande doppio,ラブレター グランデ ドッピオ,Love letter-grande doppio,7,6,9,6,34,25,36,25,4011/4005/4005,4048,404.png
FALSE,405,Love letter-venti doppio,ラブレター ヴェンティ ドッピオ,Love letter-venti doppio,13,12,15,12,34,27,32,27,4012/4012/4010,4047,405.png
FALSE,406,Love letter-macchiato doppio,ラブレター マキアート ドッピオ,Love letter-macchiato doppio,13,12,15,12,34,27,32,27,4012/4012/4003,0,406.png
FALSE,407,Love letter-frappuccino doppio,ラブレター フラペチーノ ドッピオ,Love letter-frappuccino doppio,6,5,8,5,32,25,38,25,4011/4003/4003,0,407.png
FALSE,408,Chameleon-short,カメレオン ショート,Chameleon-short,6,4,6,4,38,22,36,24,4002/4002/4007,0,408.png
FALSE,409,Chameleon-tall,カメレオン トール,Chameleon-tall,7,5,7,5,37,23,35,25,4002/4002/4007,4046,409.png
FALSE,410,Chameleon-grande,カメレオン グランデ,Chameleon-grande,7,5,7,5,37,23,35,25,4013/4013/4002,4048,410.png
FALSE,411,Chameleon-venti,カメレオン ヴェンティ,Chameleon-venti,8,6,8,6,38,23,34,25,4004/4006/4006,4047,411.png
FALSE,412,Chameleon-macchiato,カメレオン マキアート,Chameleon-macchiato,7,5,7,5,37,23,35,25,4004/4004/4004,0,412.png
FALSE,413,Chameleon-frappuccino,カメレオン フラペチーノ,Chameleon-frappuccino,14,12,14,12,36,25,32,27,4004/4004/4014,0,413.png
FALSE,414,Chameleon-tall doppio,カメレオン トール ドッピオ,Chameleon-tall doppio,7,5,7,5,37,23,35,25,4002/4004/4007,4046,414.png
FALSE,415,Chameleon-grande doppio,カメレオン グランデ ドッピオ,Chameleon-grande doppio,7,5,7,5,37,23,35,25,4004/4006/4008,4048,415.png
FALSE,416,Chameleon-venti doppio,カメレオン ヴェンティ ドッピオ,Chameleon-venti doppio,8,6,8,6,38,23,34,25,4004/4008/4006,4047,416.png
FALSE,417,Chameleon-macchiato doppio,カメレオン マキアート ドッピオ,Chameleon-macchiato doppio,14,12,14,12,36,25,32,27,4014/4004/4004,0,417.png
FALSE,418,Chameleon-frappuccino doppio,カメレオン フラペチーノ ドッピオ,Chameleon-frappuccino doppio,14,12,14,12,36,25,32,27,4004/4004/4014,0,418.png
FALSE,419,Pluto,プルートウ,Pluto,80000000,1,1,1,30,30,30,30,4049/4050/4051,4052,419.png
FALSE,420,Deep Yoshka Cioccolato 2020,ディープ・ヨシュカ チョコラート 2020,Deep Yoshka Cioccolato 2020,50000000,1,1,1,30,30,30,30,4065/4022/4023,4027,420.png
FALSE,421,Ghost Brothers Grimm,ゴースト・グリム兄弟,Ghost Brothers Grimm,263,43,66,66,42,18,30,30,3004/2376/2392,1042,421.png
FALSE,422,Ghost Tokugawa Yoshinobu,ゴースト・徳川慶喜,Ghost Tokugawa Yoshinobu,247,28,103,49,39,13,46,22,3004/2338/2338,1083,422.png
FALSE,423,Ghost Ludwig van Beethoven,ゴースト・ベートーヴェン,Ghost Ludwig van Beethoven,261,49,150,74,30,16,50,24,2240/2016/3001,1008,423.png
FALSE,424,Ghost Vincent van Gogh,ゴースト・ゴッホ,Ghost Vincent van Gogh,264,35,162,74,31,11,54,24,2240/2016/3001,1065,424.png
FALSE,425,Ghost Uesugi Kenshin,ゴースト・上杉謙信,Ghost Uesugi Kenshin,258,48,141,84,29,17,47,27,2240/2016/3104,1114,425.png
FALSE,426,Ghost Richard I,ゴースト・リチャード1世,Ghost Richard I,909,192,50,94,30,53,12,25,2619/2469/3103,1151,426.png
FALSE,427,Ghost Albert Einstein,ゴースト・アインシュタイン,Ghost Albert Einstein,957,35,189,128,24,10,52,34,2639/2027/3008,1030,427.png
FALSE,428,Ghost Abe no Seimei,ゴースト・安倍晴明,Ghost Abe no Seimei,716,82,124,95,39,23,33,25,2623/2453/3008,1136,428.png
FALSE,429,Ghost Joan of Arc,ゴースト・ジャンヌ・ダルク,Ghost Joan of Arc,535,90,56,79,55,26,16,23,2103/2103/3119,1027,429.png
FALSE,430,Ghost Trưng Sisters,ゴースト・チュン姉妹,Ghost Trưng Sisters,447,71,71,44,55,27,24,14,2264/2264/3119,1130,430.png
FALSE,431,Ghost Lakshmi Bai,ゴースト・ラクシュミー・バーイ,Ghost Lakshmi Bai,296,196,31,48,32,63,10,15,2003/2003/3119,1145,431.png
FALSE,432,Ghost Diao Chan,ゴースト・貂蝉,Ghost Diao Chan,150,36,138,79,20,16,54,30,2241/2017/3001,1070,432.png
FALSE,433,Ghost Cleopatra,ゴースト・クレオパトラ,Ghost Cleopatra,438,29,113,134,42,9,32,37,2288/2090/3109,11086,433.png
FALSE,434,Ghost Ono no Komachi,ゴースト・小野小町,Ghost Ono no Komachi,152,13,157,81,22,5,61,32,2169/2169/3109,1125,434.png
FALSE,435,Ghost Yang Guifei,ゴースト・楊貴妃,Ghost Yang Guifei,191,42,150,71,25,15,54,26,2571/2571/3109,11043,435.png
